"NUM";"TITLE";"genre"
324;"War Thunder - Ezer Weizman’s Black Spitfire Pack (한국어판)";"시뮬레이션"
325;"War Thunder - Ezer Weizman’s Black Spitfire Pack (한국어판)";"액션"
326;"War Thunder - F-4EJ Phantom II ADTW (한국어판)";"시뮬레이션"
327;"War Thunder - F-4EJ Phantom II ADTW (한국어판)";"액션"
328;"War Thunder - F-4J(K) Phantom II (한국어판)";"시뮬레이션"
329;"War Thunder - F-4J(K) Phantom II (한국어판)";"액션"
330;"War Thunder - German Starter Bundle (영어, 일본어)";"시뮬레이션"
331;"War Thunder - German Starter Bundle (영어, 일본어)";"액션"
332;"War Thunder - German Beginner's Pack (한국어판)";"시뮬레이션"
333;"War Thunder - German Beginner's Pack (한국어판)";"액션"
334;"War Thunder - Invader (영어판)";"액션"
335;"War Thunder - IS-6 (한국어판)";"액션"
336;"War Thunder - IS-6 (한국어판)";"액션"
337;"War Thunder - Italian Starter Pack (한국어판)";"시뮬레이션"
338;"War Thunder - Italian Starter Pack (한국어판)";"액션"
339;"War Thunder - Italian Starter Pack (한국어판)";"유니크"
340;"War Thunder - J35XS (한국어판)";"시뮬레이션"
341;"War Thunder - J35XS (한국어판)";"액션"
342;"War Thunder - Japanese Starter Pack (한국어판)";"시뮬레이션"
343;"War Thunder - Japanese Starter Pack (한국어판)";"액션"
344;"War Thunder - Japanese Starter Pack (한국어판)";"유니크"
345;"War Thunder - Leopard (한국어판)";"액션"
346;"War Thunder - Leopard (한국어판)";"액션"
347;"War Thunder - M728 CEV (한국어판)";"시뮬레이션"
348;"War Thunder - M728 CEV (한국어판)";"액션"
349;"War Thunder - Merkava Mk.2D (한국어판)";"시뮬레이션"
350;"War Thunder - Merkava Mk.2D (한국어판)";"액션"
351;"War Thunder - Mirage F1C-200 (한국어판)";"시뮬레이션"
352;"War Thunder - Mirage F1C-200 (한국어판)";"액션"
353;"War Thunder - Rooikat 105 (영어판)";"액션"
354;"War Thunder - Rooivalk (한국어판)";"시뮬레이션"
355;"War Thunder - Rooivalk (한국어판)";"액션"
356;"War Thunder - Somua SM (한국어판)";"시뮬레이션"
357;"War Thunder - Somua SM (한국어판)";"액션"
358;"War Thunder - Somua SM (한국어판)";"유니크"
359;"War Thunder - Su-25K Bundle (영어, 일본어)";"시뮬레이션"
360;"War Thunder - Su-25K Bundle (영어, 일본어)";"액션"
361;"War Thunder - Super AMX-30 (영어판)";"액션"
362;"War Thunder - Swedish Starter Pack (한국어판)";"시뮬레이션"
363;"War Thunder - Swedish Starter Pack (한국어판)";"액션"
364;"War Thunder - Tu-1 Pack (한국어판)";"시뮬레이션"
365;"War Thunder - Tu-1 Pack (한국어판)";"액션"
366;"War Thunder - Type 16 (FPS) (한국어판)";"시뮬레이션"
